Communication Round,Accuracy
0,0.36376023
1,0.6994177
2,0.880145
3,0.91234803
4,0.9213556
5,0.9313954
6,0.9340274
7,0.9386264
8,0.93995637
9,0.94321156
10,0.9366176
11,0.94201654
12,0.9421932
13,0.94234204
14,0.93633384
15,0.80801535
16,0.937622
17,0.9454763
18,0.94562507
19,0.94745725
20,0.9484338
21,0.94827104
22,0.94880104
23,0.947499
24,0.70413774
25,0.88428366
26,0.9433882
27,0.94470423
28,0.9459785
29,0.9461691
30,0.94633186
31,0.9459646
32,0.94629014
33,0.9464668
34,0.94578785
35,0.9469551
36,0.9479594
37,0.9516098
38,0.9511215
39,0.9520842
