Communication Round,Accuracy
0,0.080271445
1,0.115529336
2,0.11759607
3,0.13031729
4,0.15872529
5,0.18230827
6,0.1942303
7,0.19324577
8,0.19275749
9,0.20654896
10,0.20083904
11,0.21072225
12,0.20541893
13,0.20707908
14,0.22947025
15,0.21431561
16,0.21804647
17,0.22699098
18,0.2216438
19,0.22463329
20,0.22413106
21,0.22379224
22,0.21285474
23,0.21823382
24,0.22688735
25,0.23366947
26,0.2260503
27,0.23473573
28,0.24271365
29,0.23366152
30,0.22275591
31,0.23678651
32,0.22789381
33,0.22678374
34,0.23086138
35,0.22845583
36,0.22840403
37,0.23142338
38,0.23251355
39,0.2143216
40,0.231535
41,0.22896007
42,0.23777103
43,0.23672672
44,0.2296596
45,0.22995853
46,0.2223274
47,0.23304768
48,0.23538744
49,0.23246773
50,0.23406808
51,0.22951011
52,0.2304548
53,0.2294623
54,0.2361687
55,0.22060747
56,0.2369061
57,0.24567921
58,0.23959462
59,0.23793648
60,0.23743224
61,0.22371851
62,0.23445073
63,0.22848573
64,0.23543528
65,0.23825733
66,0.22632535
67,0.22690132
68,0.23447065
69,0.2344348
70,0.22413705
71,0.23451053
72,0.23751394
73,0.23065808
74,0.22123924
75,0.22856148
76,0.23002432
77,0.23424745
78,0.22987485
79,0.2298011
80,0.23501475
81,0.23453045
82,0.2325275
83,0.23282845
84,0.22919922
85,0.23078366
86,0.22099212
87,0.23725088
88,0.23273876
89,0.23719907
90,0.23140745
91,0.22583507
92,0.22297911
93,0.23572026
94,0.23136161
95,0.23236807
96,0.22916932
97,0.22891422
98,0.22823063
99,0.23335259
