Communication Round,Accuracy
0,0.38925695
1,0.6921544
2,0.8968066
3,0.9246012
4,0.9295397
5,0.93592906
6,0.9396865
7,0.9433229
8,0.9449644
9,0.94413674
10,0.94660604
11,0.94660604
12,0.9474337
13,0.94051427
14,0.7404515
15,0.90775335
16,0.94429946
17,0.94626653
18,0.94824755
19,0.94824755
20,0.94857305
21,0.94906133
22,0.950024
23,0.9510423
24,0.9510423
25,0.9529954
26,0.9516794
27,0.9533209
28,0.95446026
29,0.95446026
30,0.95447415
31,0.9543114
32,0.9543114
33,0.9554507
34,0.9579061
35,0.9551252
36,0.95315814
37,0.9580549
38,0.9583944
39,0.956604
